user_id,quiz_session_id,question_id,category,difficulty,selected_answer,correct_answer,is_correct,reward,attempt_number,timestamp
164,sess-164-496512,8,history,medium,D,D,True,1.0,1,1787446204.5210493
71,sess-71-496513,16,science,hard,D,D,True,1.0,1,1787446852.6830897
189,sess-189-496513,7,movies,easy,D,A,False,0.0,1,1787447500.8451302
23,sess-23-496513,38,music,hard,C,C,True,1.0,1,1787448149.0071707
8,sess-8-496513,6,history,hard,B,B,True,1.0,1,1787448797.1692114
130,sess-130-496513,39,movies,medium,D,D,True,1.0,1,1787449445.3312519
51,sess-51-496513,46,music,hard,A,A,True,1.0,1,1787450093.4932923
140,sess-140-496514,27,movies,hard,B,B,True,1.0,1,1787450741.6553328
151,sess-151-496514,18,movies,easy,A,C,False,0.0,1,1787451389.8173733
195,sess-195-496514,52,music,medium,A,A,True,1.0,1,1787452037.9794137
109,sess-109-496514,22,sports,hard,C,C,True,1.0,1,1787452686.1414545
56,sess-56-496514,49,geography,medium,A,A,True,1.0,1,1787453334.303495
24,sess-24-496514,25,music,hard,C,C,True,1.0,1,1787453982.4655354
89,sess-89-496515,39,movies,medium,D,D,True,1.0,1,1787454630.6275759
12,sess-12-496515,47,music,hard,A,A,True,1.0,1,1787455278.7896163
32,sess-32-496515,60,science,hard,D,D,True,1.0,1,1787455926.9516568
142,sess-142-496515,19,science,hard,D,A,False,0.0,1,1787456575.1136975
93,sess-93-496515,37,history,hard,B,B,True,1.0,1,1787457223.275738
18,sess-18-496516,3,music,easy,C,B,False,0.0,1,1787457871.4377785
21,sess-21-496516,55,movies,medium,A,A,True,1.0,1,1787458519.599819
26,sess-26-496516,25,music,hard,C,C,True,1.0,1,1787459167.7618594
163,sess-163-496516,54,movies,hard,B,B,True,1.0,1,1787459815.9239
95,sess-95-496516,23,history,medium,C,C,True,1.0,1,1787460464.0859406
69,sess-69-496516,45,movies,medium,C,D,False,0.0,1,1787461112.247981
19,sess-19-496517,39,movies,medium,D,D,True,1.0,1,1787461760.4100215
137,sess-137-496517,47,music,hard,A,A,True,1.0,1,1787462408.572062
119,sess-119-496517,25,music,hard,C,C,True,1.0,1,1787463056.7341025
164,sess-164-496517,45,movies,medium,D,D,True,1.0,1,1787463704.896143
176,sess-176-496517,21,science,medium,A,B,False,0.0,1,1787464353.0581834
59,sess-59-496518,53,history,medium,B,B,True,1.0,1,1787465001.2202241
81,sess-81-496518,26,movies,hard,A,A,True,1.0,1,1787465649.3822646
55,sess-55-496518,59,science,hard,D,A,False,0.0,1,1787466297.544305
81,sess-81-496518,14,science,hard,B,C,False,0.0,1,1787466945.7063456
165,sess-165-496518,30,music,medium,B,B,True,1.0,1,1787467593.868386
36,sess-36-496518,16,science,hard,C,D,False,0.0,1,1787468242.0304265
68,sess-68-496519,48,music,medium,C,C,True,1.0,1,1787468890.1924672
150,sess-150-496519,26,movies,hard,A,A,True,1.0,1,1787469538.3545077
36,sess-36-496519,33,history,hard,A,A,True,1.0,1,1787470186.5165482
194,sess-194-496519,4,movies,medium,B,A,False,0.0,1,1787470834.6785886
161,sess-161-496519,11,history,medium,C,B,False,0.0,1,1787471482.840629
153,sess-153-496520,5,science,easy,A,A,True,1.0,1,1787472131.0026696
153,sess-153-496520,30,music,medium,B,B,True,1.0,1,1787472779.1647103
142,sess-142-496520,56,science,easy,C,D,False,0.0,1,1787473427.3267508
185,sess-185-496520,8,history,medium,C,D,False,0.0,1,1787474075.4887912
193,sess-193-496520,18,movies,easy,B,C,False,0.0,1,1787474723.6508317
29,sess-29-496520,19,science,hard,A,A,True,1.0,1,1787475371.8128722
117,sess-117-496521,1,science,hard,D,A,False,0.0,1,1787476019.9749126
68,sess-68-496521,33,history,hard,D,A,False,0.0,1,1787476668.1369534
28,sess-28-496521,56,science,easy,D,D,True,1.0,1,1787477316.2989938
164,sess-164-496521,33,history,hard,A,A,True,1.0,1,1787477964.4610343
40,sess-40-496521,24,history,hard,D,C,False,0.0,1,1787478612.6230748
200,sess-200-496522,60,science,hard,D,D,True,1.0,1,1787479260.7851152
1,sess-1-496522,39,movies,medium,D,D,True,1.0,1,1787479908.9471557
5,sess-5-496522,8,history,medium,B,D,False,0.0,1,1787480557.1091962
62,sess-62-496522,4,movies,medium,A,A,True,1.0,1,1787481205.271237
146,sess-146-496522,6,history,hard,B,B,True,1.0,1,1787481853.4332774
125,sess-125-496522,53,history,medium,B,B,True,1.0,1,1787482501.5953178
195,sess-195-496523,35,sports,hard,A,D,False,0.0,1,1787483149.7573583
169,sess-169-496523,31,history,easy,B,A,False,0.0,1,1787483797.9193988
68,sess-68-496523,34,history,hard,B,C,False,0.0,1,1787484446.0814393
55,sess-55-496523,60,science,hard,D,D,True,1.0,1,1787485094.24348
187,sess-187-496523,45,movies,medium,D,D,True,1.0,1,1787485742.4055204
80,sess-80-496523,26,movies,hard,D,A,False,0.0,1,1787486390.567561
96,sess-96-496524,29,geography,hard,B,D,False,0.0,1,1787487038.7296014
31,sess-31-496524,16,science,hard,D,D,True,1.0,1,1787487686.8916419
87,sess-87-496524,2,history,easy,C,C,True,1.0,1,1787488335.0536823
59,sess-59-496524,38,music,hard,C,C,True,1.0,1,1787488983.215723
19,sess-19-496524,46,music,hard,A,A,True,1.0,1,1787489631.3777635
59,sess-59-496525,5,science,easy,C,A,False,0.0,1,1787490279.539804
